Bubble,Age,Score,Race,LogBubble
1,23,-1,Multiple,0
0,23,-1,Native American,#NUM!
10,23,-1,White,1
1,24,-1,Asian,0
5,24,-1,Black,0.698970004
0,24,-1,Multiple,#NUM!
0,24,-1,Native American,#NUM!
11,24,-1,White,1.041392685
1,25,-1,Asian,0
2,25,-1,Black,0.301029996
0,25,-1,Multiple,#NUM!
0,25,-1,Native American,#NUM!
12,25,-1,White,1.079181246
2,26,-1,Asian,0.301029996
5,26,-1,Black,0.698970004
1,26,-1,Multiple,0
1,26,-1,Native American,0
16,26,-1,White,1.204119983
3,27,-1,Asian,0.477121255
6,27,-1,Black,0.77815125
2,27,-1,Multiple,0.301029996
0,27,-1,Native American,#NUM!
11,27,-1,White,1.041392685
1,28,-1,Asian,0
6,28,-1,Black,0.77815125
1,28,-1,Multiple,0
0,28,-1,Native American,#NUM!
17,28,-1,White,1.230448921
1,29,-1,Asian,0
4,29,-1,Black,0.602059991
0,29,-1,Multiple,#NUM!
0,29,-1,Native American,#NUM!
18,29,-1,White,1.255272505
2,30,-1,Asian,0.301029996
3,30,-1,Black,0.477121255
1,30,-1,Multiple,0
1,30,-1,Native American,0
21,30,-1,White,1.322219295
1,31,-1,Asian,0
3,31,-1,Black,0.477121255
0,31,-1,Multiple,#NUM!
0,31,-1,Native American,#NUM!
11,31,-1,White,1.041392685
2,32,-1,Asian,0.301029996
7,32,-1,Black,0.84509804
1,32,-1,Multiple,0
0,32,-1,Native American,#NUM!
19,32,-1,White,1.278753601
3,33,-1,Asian,0.477121255
4,33,-1,Black,0.602059991
1,33,-1,Multiple,0
1,33,-1,Native American,0
11,33,-1,White,1.041392685
2,34,-1,Asian,0.301029996
3,34,-1,Black,0.477121255
1,34,-1,Multiple,0
0,34,-1,Native American,#NUM!
15,34,-1,White,1.176091259
2,35,-1,Asian,0.301029996
2,35,-1,Black,0.301029996
0,35,-1,Multiple,#NUM!
3,35,-1,Native American,0.477121255
15,35,-1,White,1.176091259
2,36,-1,Asian,0.301029996
1,36,-1,Black,0
1,36,-1,Multiple,0
1,36,-1,Native American,0
22,36,-1,White,1.342422681
2,37,-1,Asian,0.301029996
7,37,-1,Black,0.84509804
1,37,-1,Multiple,0
0,37,-1,Native American,#NUM!
15,37,-1,White,1.176091259
0,38,-1,Asian,#NUM!
8,38,-1,Black,0.903089987
1,38,-1,Multiple,0
1,38,-1,Native American,0
8,38,-1,White,0.903089987
1,39,-1,Asian,0
1,39,-1,Black,0
1,39,-1,Multiple,0
1,39,-1,Native American,0
15,39,-1,White,1.176091259
4,40,-1,Asian,0.602059991
6,40,-1,Black,0.77815125
1,40,-1,Multiple,0
0,40,-1,Native American,#NUM!
23,40,-1,White,1.361727836
1,41,-1,Asian,0
1,41,-1,Black,0
0,41,-1,Multiple,#NUM!
0,41,-1,Native American,#NUM!
19,41,-1,White,1.278753601
1,42,-1,Asian,0
2,42,-1,Black,0.301029996
0,42,-1,Multiple,#NUM!
0,42,-1,Native American,#NUM!
10,42,-1,White,1
3,43,-1,Asian,0.477121255
7,43,-1,Black,0.84509804
0,43,-1,Multiple,#NUM!
0,43,-1,Native American,#NUM!
17,43,-1,White,1.230448921
3,44,-1,Asian,0.477121255
5,44,-1,Black,0.698970004
0,44,-1,Multiple,#NUM!
